3 10
[[0,0.844258,0.887705,0.135013,0.910904,0,0.0621695,0,0.714204,0.026497],
[0.656013,0,0.797114,0.106729,0.894285,0.0960069,0,0,0.931413,0],
[0.823986,0.7801,0,0.0227703,0.699952,0,0.0335756,0.105396,0.824379,0.166841],
[0.0418365,0.0309518,0,0,0.0549155,0,0.0966711,0.541732,0.00902559,0.106619],
[0.770541,0.610039,0.882751,0.0416987,0,0,0,0,0.848877,0],
[0,0.0724962,0,0,0,0,0.57754,0.0140782,0.118138,0.711615],
[0,0,0,0.149584,0.0792946,0.675583,0,0.0365468,0,0.730779],
[0.175264,0,0.0100372,0.527155,0.161622,0.0341443,0.00738381,0,0.0519147,0.000818055],
[0.830874,0.903752,0.965896,0.0308974,0.726791,0,0,0.175016,0,0],
[0,0.122489,0,0.0548072,0,0.570881,0.774476,0,0.0713353,0]]
