3 10
[[0,1,0,1,1,1,1,1,0,1],
[1,0,1,0,0,0,1,1,1,0],
[0,1,0,1,1,1,1,1,0,1],
[1,0,1,0,0,0,1,1,1,0],
[1,0,1,0,0,0,1,1,1,0],
[1,0,1,0,0,0,1,1,1,0],
[1,1,1,1,1,1,0,0,1,1],
[1,1,1,1,1,1,0,0,1,1],
[0,1,0,1,1,1,1,1,0,1],
[1,0,1,0,0,0,1,1,1,0]]

0 1 0 0.891299 1 0.925185 0.878887 0.925619 0.0195029 1 
0.987215 0 1 0 0.139434 0 1 0.908739 1 0.0728597 
0 0.994311 0 1 0.928395 1 1 0.982023 0.109473 1 
0.914438 0.0700938 1 0 0 0 0.938167 1 1 0 
0.964589 0.0205989 0.875361 0.0589938 0 0.0993211 0.976879 1 1 0.282686 
0.973736 0 1 0 0.0131254 0 1 0.852396 0.855668 0 
1 0.996814 0.846128 1 1 0.96991 0 0.00557516 0.920353 0.903485 
1 0.825328 1 0.965867 1 0.877519 0.234464 0 1 1 
0 0.982825 0.145893 1 1 1 0.91395 1 0 1 
1 0 1 0.0784936 0.0523461 0.0771795 1 0.868792 0.971173 0 
