3 10
[[0,0,0.640975,0,0,0.0160736,0.109324,0,0.626766,0.160869],
[0,0,0.0289904,0.495406,0.785927,0.594877,0.111023,0,0,0.889836],
[0.687614,0.109002,0,0.00929424,0,0,0,0.139945,0.752984,0.218286],
[0.0438672,0.90717,0.143457,0,0.84877,0.823509,0,0,0.0330208,0.790994],
[0,0.662846,0.144152,0.76645,0,0.792642,0,0.16341,0,1],
[0.22025,0.676038,0.0476667,0.913232,0.747748,0,0.0855163,0,0.00393043,0.832631],
[0.039569,0.0258469,0,0,0.00850873,0.105502,0,0.409467,0.00534589,0],
[0.121885,0,0,0.182984,0.0833384,0.0718764,0.549372,0,0,0.0112128],
[0.623487,0.0661823,0.604733,0.0810346,0.0865626,0,0,0,0,0.0366287],
[0,0.676164,0.0404274,0.738151,0.782299,0.63573,0,0,0.0310782,0]]
