param G := 2 ;

param m := 3 ;

param n := 4 ;

param c :=
     1    3
     2    2
     3    3 ;

param dkij :=
  [1,*,*]:         1         2         3         4  :=
     1             0         1         1         1
     2             1       0.5       0.5         1
     3             1       0.5       0.5         1
     4             1         1         1         0
  [2,*,*]:         1         2         3         4  :=
     1           0.5         1       0.5         1
     2             1       0.5         1       0.5
     3           0.5         1       0.5         1
     4             1       0.5         1       0.5
  [3,*,*]:         1         2         3         4  :=
     1             0         1         1         1
     2             1       0.5         1       0.5
     3             1         1         0         1
     4             1       0.5         1       0.5 ;

